forecast_date,target_date,ticker,horizon,last_price,p10,p50,p90,actual,model_used,direction,signal_strength,conviction_score,poly_signal,poly_regime,poly_confidence,poly_alignment,poly_band_adj_pct,news_signal,news_confidence,news_top_headline,error_abs,error_pct,hit,direction_correct,graded_at,notes,macro_sc,tft_score_raw,cot_signal,pcr_signal,ng_storage_signal,news_sc
2026-04-16,2026-04-23,BIL,5,90.982552,91.037225,91.050672,91.064119,91.052139,StatsForecast_B_backfill,BULLISH,0.0749,0.9953,,,,,,,,,0.001467,0.0016,1.0,1.0,2026-06-04T18:18:46.016301,,0.65,,0.0,0.0,,
2026-04-16,2026-05-28,BIL,30,90.982552,91.335816,91.367953,91.396357,91.361084,StatsForecast_B_backfill,BULLISH,0.4236,0.9953,,,,,,,,,0.006869,0.0075,1.0,1.0,2026-06-04T18:18:46.016994,,0.65,,0.0,0.0,,
2026-04-16,2026-08-20,BIL,90,90.982552,92.044105,92.127436,92.208582,,StatsForecast_B_backfill,BULLISH,1.2584,0.9953,,,,,,,,,,,,,,,0.65,,0.0,0.0,,
2026-04-16,2026-04-21,BTC-USD,5,75152.132812,71237.995874,75317.707568,79027.120668,76352.773438,StatsForecast_D_backfill,BULLISH,0.2203,0.0,,,,,,,,,1035.06587,1.3743,1.0,1.0,2026-06-04T18:18:46.082016,,0.05,,0.0,0.0,,
2026-04-16,2026-05-16,BTC-USD,30,75152.132812,65683.722065,76248.942229,84785.3,78131.4375,StatsForecast_D_backfill,BULLISH,1.4595,0.0,,,,,,,,,1882.495271,2.4689,1.0,1.0,2026-06-04T18:18:46.082716,,0.05,,0.0,0.0,,
2026-04-16,2026-07-15,BTC-USD,90,75152.132812,62260.168594,78483.905416,94641.222813,,StatsForecast_D_backfill,BULLISH,4.4334,0.0,,,,,,,,,,,,,,,0.05,,0.0,0.0,,
2026-04-16,2026-04-23,CL=F,5,94.690002,90.211117,94.613056,99.435793,95.849998,StatsForecast_B_backfill,BULLISH,0.0813,0.108,,,,,,,,,1.236942,1.3074,1.0,1.0,2026-06-04T18:18:46.195219,,0.43,,0.0,0.0,,
2026-04-16,2026-05-28,CL=F,30,94.690002,83.490412,94.613056,104.63121,88.900002,StatsForecast_B_backfill,BULLISH,0.0813,0.108,,,,,,,,,5.713054,6.0383,1.0,0.0,2026-06-04T18:18:46.195921,,0.43,,0.0,0.0,,
2026-04-16,2026-08-20,CL=F,90,94.690002,78.143815,94.613838,111.512474,,StatsForecast_B_backfill,BULLISH,0.0804,0.1059,,,,,,,,,,,,,,,0.43,,0.0,0.0,,
2026-04-16,2026-04-23,DX-Y.NYB,5,98.220001,97.274264,98.219985,99.127879,98.800003,StatsForecast_B_backfill,BULLISH,0.0,0.8278,,,,,,,,,0.580018,0.5905,1.0,1.0,2026-06-04T18:18:46.264255,,0.3616,,0.0,0.0,,
